    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    41.653774    24.682370    -1.890039    -1.648926     0.020000
    63.265921    29.845581    -2.352148    -1.229980     0.020000
    67.574834    30.672312    -3.290039    -1.229980     0.020000
     3.207768     2.085241    -2.352148    -3.148926     0.020000
     3.207768     2.085241    -2.352148    -3.148926     0.020000
    67.574834    30.672312    -3.290039    -1.229980     0.020000
    38.622081    23.810477    -3.290039    -3.148926     0.020000
    19.612328    11.867252    -3.052148    -3.479980     0.020000
     3.355261     0.995027    -2.590039    -3.479980     0.020000
    56.167817    28.525316    -3.052148    -2.398926     0.020000
    56.167817    28.525316    -3.052148    -2.398926     0.020000
     3.355261     0.995027    -2.590039    -3.479980     0.020000
    40.897231    24.493761    -2.590039    -2.398926     0.020000
    67.977661    30.745696    -4.452148    -1.979980     0.020000
    67.616749    30.679514    -3.990039    -1.979980     0.020000
    63.639948    28.664672    -4.452148    -3.898926     0.020000
    63.639948    28.664672    -4.452148    -3.898926     0.020000
    67.616749    30.679514    -3.990039    -1.979980     0.020000
    55.861307    25.050392    -3.990039    -3.898926     0.020000
    63.404608    28.505628    -4.430273    -3.925293     0.020000
     1.474645     0.028503    -2.743164    -3.925293     0.020000
    67.920001    30.741029    -4.430273    -2.000488     0.020000
    67.920001    30.741029    -4.430273    -2.000488     0.020000
     1.474645     0.028503    -2.743164    -3.925293     0.020000
    57.603326    28.877815    -2.743164    -2.000488     0.020000
    55.116327    28.274700    -3.030273    -2.425293     0.020000
    66.986075    30.583825    -4.143164    -2.425293     0.020000
    18.137966    10.734966    -3.030273    -3.500488     0.020000
    18.137966    10.734966    -3.030273    -3.500488     0.020000
    66.986075    30.583825    -4.143164    -2.425293     0.020000
    59.898569    28.525331    -4.143164    -3.500488     0.020000
     2.634965     1.479645    -2.330273    -3.175293     0.020000
     0.645540     0.061054    -2.043164    -3.175293     0.020000
    62.801074    29.758609    -2.330273    -1.250488     0.020000
    62.801074    29.758609    -2.330273    -1.250488     0.020000
