    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    66.490800    30.186530    -2.666943    -1.461426     0.020000
    68.170264    30.687086    -3.437353    -1.417480     0.020000
    68.153451    30.679535    -3.437353    -1.461426     0.020000
    40.514404     0.003823    -2.091943    -3.667480     0.020000
    34.373675     0.000204    -1.712354    -3.667480     0.020000
    40.483113     0.002209    -2.091943    -3.711426     0.020000
    40.483113     0.002209    -2.091943    -3.711426     0.020000
    34.373675     0.000204    -1.712354    -3.667480     0.020000
    34.371103     0.000127    -1.712354    -3.711426     0.020000
    67.599535    30.167693    -3.241943    -2.167480     0.020000
    66.380547    29.335244    -2.862354    -2.167480     0.020000
    67.583406    30.109277    -3.241943    -2.211426     0.020000
    67.583406    30.109277    -3.241943    -2.211426     0.020000
    66.380547    29.335244    -2.862354    -2.167480     0.020000
    66.343418    29.200268    -2.862354    -2.211426     0.020000
    65.512269    19.012195    -2.954443    -3.292480     0.020000
    68.000060    28.262297    -3.724854    -3.292480     0.020000
    67.072706    30.160222    -2.954443    -1.836426     0.020000
    67.072706    30.160222    -2.954443    -1.836426     0.020000
    68.000060    28.262297    -3.724854    -3.292480     0.020000
    68.255864    30.674803    -3.724854    -1.836426     0.020000
    52.961322    23.688301    -1.804443    -1.792480     0.020000
    65.256767    29.436275    -2.574854    -1.792480     0.020000
    36.220941     0.005600    -1.804443    -3.336426     0.020000
    36.220941     0.005600    -1.804443    -3.336426     0.020000
    65.256767    29.436275    -2.574854    -1.792480     0.020000
    60.414711     8.425848    -2.574854    -3.336426     0.020000
    61.650059    22.214995    -2.379443    -2.542480     0.020000
    67.237637    29.080616    -3.149853    -2.542480     0.020000
    66.124328    30.163160    -2.379443    -1.086426     0.020000
    66.124328    30.163160    -2.379443    -1.086426     0.020000
    67.237637    29.080616    -3.149853    -2.542480     0.020000
    68.089954    30.675801    -3.149853    -1.086426     0.020000
    68.341345    30.740012    -3.529443    -1.042480     0.020000
    63.339172    29.404830    -1.999853    -1.042480     0.020000
    67.961734    29.978634    -3.529443    -2.586426     0.020000
    67.961734    29.978634    -3.529443    -2.586426     0.020000
    63.339172    29.404830    -1.999853    -1.042480     0.020000
    53.615859    13.177907    -1.999853    -2.586426     0.020000
    67.346283    21.614455    -3.673193    -3.854980     0.020000
    65.365574    13.210284    -3.293604    -3.854980     0.020000
    67.750256    25.640179    -3.673193    -3.523926     0.020000
    67.750256    25.640179    -3.673193    -3.523926     0.020000
    65.365574    13.210284    -3.293604    -3.854980     0.020000
    66.646202    20.049680    -3.293604    -3.523926     0.020000
    63.739043    26.355129    -2.523193    -2.354980     0.020000
    58.109634    21.350682    -2.143604    -2.354980     0.020000
    64.312566    28.466544    -2.523193    -2.023926     0.020000
    64.312566    28.466544    -2.523193    -2.023926     0.020000
    58.109634    21.350682    -2.143604    -2.354980     0.020000
    59.286110    25.555617    -2.143604    -2.023926     0.020000
    39.665599     0.203099    -1.948193    -3.104980     0.020000
    68.191463    29.661110    -3.868603    -3.104980     0.020000
    50.006062     6.513797    -1.948193    -2.773926     0.020000
    50.006062     6.513797    -1.948193    -2.773926     0.020000
    68.191463    29.661110    -3.868603    -3.104980     0.020000
    68.237904    30.200632    -3.868603    -2.773926     0.020000
    67.628394    30.494372    -3.098193    -1.604980     0.020000
    66.443591    30.098218    -2.718603    -1.604980     0.020000
    67.897249    30.620661    -3.098193    -1.273926     0.020000
    67.897249    30.620661    -3.098193    -1.273926     0.020000
    66.443591    30.098218    -2.718603    -1.604980     0.020000
    67.066951    30.397556    -2.718603    -1.273926     0.020000
    67.715112    29.225603    -3.385693    -2.729980     0.020000
    47.024727     5.317265    -1.856103    -2.729980     0.020000
    68.031457    30.620267    -3.385693    -1.648926     0.020000
    68.031457    30.620267    -3.385693    -1.648926     0.020000
    47.024727     5.317265    -1.856103    -2.729980     0.020000
    55.455125    25.773861    -1.856103    -1.648926     0.020000
    64.521150    29.705201    -2.235693    -1.229980     0.020000
    67.798124    30.596764    -3.006104    -1.229980     0.020000
    54.699220     5.516810    -2.235693    -3.148926     0.020000
    54.699220     5.516810    -2.235693    -3.148926     0.020000
    67.798124    30.596764    -3.006104    -1.229980     0.020000
    66.192707    22.970882    -3.006104    -3.148926     0.020000
    62.648846     9.861381    -2.810693    -3.479980     0.020000
    45.728598     0.347491    -2.431103    -3.479980     0.020000
    65.918971    28.163554    -2.810693    -2.398926     0.020000
    65.918971    28.163554    -2.810693    -2.398926     0.020000
    45.728598     0.347491    -2.431103    -3.479980     0.020000
    62.630642    24.939286    -2.431103    -2.398926     0.020000
    68.349152    30.697604    -3.960693    -1.979980     0.020000
    68.135516    30.581399    -3.581104    -1.979980     0.020000
    67.905952    25.358621    -3.960693    -3.898926     0.020000
    67.905952    25.358621    -3.960693    -3.898926     0.020000
    68.135516    30.581399    -3.581104    -1.979980     0.020000
