    K_f          mu_f          f            Kp
    41.598089    17.874874     0.940334     0.050000
    41.144123    17.478506     0.943645     0.050000
    40.674588    17.055380     0.946957     0.050000
    40.188668    16.602561     0.950268     0.050000
    39.685491    16.116644     0.953579     0.050000
    39.164121    15.593646     0.956890     0.050000
    38.623553    15.028866     0.960201     0.050000
    38.062706    14.416709     0.963512     0.050000
    37.480419    13.750431     0.966823     0.050000
    36.875436    13.021807     0.970134     0.050000
    36.246406    12.220646     0.973445     0.050000
    35.591865    11.334093     0.976756     0.050000
    34.910229    10.345582     0.980067     0.050000
    34.199781     9.233189     0.983378     0.050000
    33.458653     7.966938     0.986689     0.050000
    32.684815     6.504127     0.990000     0.050000
    56.708663    26.415584     0.000000     0.100000
    56.685991    26.408368     0.003311     0.100000
    56.663196    26.401108     0.006622     0.100000
    56.640276    26.393804     0.009933     0.100000
    56.617230    26.386456     0.013244     0.100000
    56.594057    26.379062     0.016555     0.100000
    56.570757    26.371623     0.019866     0.100000
    56.547328    26.364138     0.023177     0.100000
    56.523769    26.356607     0.026488     0.100000
    56.500080    26.349029     0.029799     0.100000
    56.476258    26.341404     0.033110     0.100000
    56.452303    26.333731     0.036421     0.100000
    56.428214    26.326011     0.039732     0.100000
    56.403990    26.318241     0.043043     0.100000
    56.379629    26.310423     0.046355     0.100000
    56.355130    26.302556     0.049666     0.100000
    56.330493    26.294638     0.052977     0.100000
    56.305715    26.286670     0.056288     0.100000
    56.280796    26.278652     0.059599     0.100000
    56.255735    26.270582     0.062910     0.100000
    56.230531    26.262460     0.066221     0.100000
    56.205181    26.254286     0.069532     0.100000
    56.179685    26.246059     0.072843     0.100000
    56.154042    26.237778     0.076154     0.100000
    56.128250    26.229444     0.079465     0.100000
    56.102308    26.221055     0.082776     0.100000
    56.076215    26.212612     0.086087     0.100000
    56.049969    26.204113     0.089398     0.100000
    56.023569    26.195557     0.092709     0.100000
    55.997014    26.186946     0.096020     0.100000
    55.970302    26.178277     0.099331     0.100000
    55.943433    26.169550     0.102642     0.100000
    55.916403    26.160765     0.105953     0.100000
    55.889213    26.151922     0.109264     0.100000
    55.861860    26.143019     0.112575     0.100000
    55.834343    26.134055     0.115886     0.100000
    55.806662    26.125031     0.119197     0.100000
    55.778813    26.115946     0.122508     0.100000
    55.750796    26.106799     0.125819     0.100000
    55.722609    26.097589     0.129130     0.100000
    55.694251    26.088316     0.132441     0.100000
    55.665720    26.078979     0.135753     0.100000
    55.637014    26.069578     0.139064     0.100000
    55.608132    26.060111     0.142375     0.100000
    55.579072    26.050578     0.145686     0.100000
    55.549833    26.040979     0.148997     0.100000
    55.520413    26.031313     0.152308     0.100000
    55.490810    26.021579     0.155619     0.100000
    55.461022    26.011776     0.158930     0.100000
    55.431049    26.001903     0.162241     0.100000
    55.400887    25.991960     0.165552     0.100000
    55.370536    25.981947     0.168863     0.100000
    55.339993    25.971862     0.172174     0.100000
    55.309256    25.961704     0.175485     0.100000
    55.278325    25.951473     0.178796     0.100000
    55.247196    25.941168     0.182107     0.100000
    55.215869    25.930788     0.185418     0.100000
    55.184340    25.920332     0.188729     0.100000
    55.152609    25.909800     0.192040     0.100000
    55.120673    25.899191     0.195351     0.100000
    55.088530    25.888503     0.198662     0.100000
    55.056178    25.877737     0.201973     0.100000
